MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
140.1525,200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192
200.8698,217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507
217.9197,165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308
165.5229004,124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169
124.8101,132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156
132.7041,169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553
169.4154891,139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858
139.7676,203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794
203.8977,215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511
215.2847,164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392
164.5073418,131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197
131.7977,133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701
133.1086,201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721
201.3107192,138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097
138.2507,210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659
210.1308,221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356
221.7169,201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518
201.0811156,130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415
130.4553,132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988
132.1858,138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736
138.634794,141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516
141.6511,219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351
219.1392,221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325
221.9197,209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172
209.6578701,136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765
136.721,136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163
136.097,209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721
209.3087659,144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965
144.4356,221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989
221.2518,219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735
219.7415,152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416
152.6425988,125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502
125.8736,136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588
136.1516,125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712
125.9871351,147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841
147.8325,219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336
219.9172,213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231
213.3765,218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429
218.1564163,124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937
124.3721,138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431
138.8965,182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827
182.6981989,145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906
145.4735,214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731
214.0416,213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748
213.6502,180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229
180.8150588,127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844
127.3712,134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585
134.1841,167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197
167.745336,142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653
142.0231,203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506
203.4429,211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677
211.8937,131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298
131.8328431,129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554
129.0827,130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095
130.6906,187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081
187.8344731,143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332
143.1748,200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551
200.6229,213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175
213.1844,193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583
193.9606585,128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298
128.8197,130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383
130.0653,208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669
208.5319506,140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385
140.7677,197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279
197.5298,216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242
216.554,209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511
209.37095,126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626
126.0081,130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912
130.2332,143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091
143.2763551,138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212
138.6175,193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684
193.2583,217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789
217.0298,146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017
146.4868383,117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3
117.1669,123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357
123.9385,132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645
132.1349279,136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917
136.9242,187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138
187.8511,213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289
213.5626,158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896
158.1196912,112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588
112.4091,126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112
126.4212,211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876
211.7575684,133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062
133.6789,191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591
191.9017,212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581
212.3,137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553
137.337357,110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544
110.7645,124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904
124.917,145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047
145.5983138,135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435
135.7289,198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076
198.4896,220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194
220.1588,131.0315112,111.0876,123.3062,183.6756591,139.1581,208.553,217.6544,180.3576904,113.1047,128.6435,132.4025076,142.2194,218.4403
