DT,MLP,MPC,SFL,SFG,IV,DV,TNV,BSI,PTR,MHI,MSP
2011-04-10,252.7191299,4.370666299,37.01036012,73.66415575,21.9,64.38,5.7168,2.854442344,17.52,3.304904051,215.2847
2011-04-15,136.5226552,4.035059156,35.07331575,74.61565726,13.26,76.19,4.50943181,6.29489603,11.34,4.175552502,164.5073418
2011-04-18,161.6331096,5.016736437,26.97750421,64.52906958,25.56,61.78,4.4524,4.460282159,11.68,0.490405117,131.7977
2011-04-20,138.1543867,3.76146789,24.77,75.23,10.18,79.23,4.9992,4.153208196,11.33,3.176972281,133.1086
2011-04-25,146.1754609,4.52790576,36.39943939,72.79674932,58.45,31.55,5.045133057,4.480151229,17.23,7.292110874,201.3107192
2011-04-28,143.2225769,3.773921939,37.53,62.47,8.79,82.71,5.2383,5.236294896,12.68,1.663113006,138.2507
2011-05-05,208.2738095,3.44918372,27.64,72.36,21.78,62.7,5.158,0.680529301,14.39,8.933901919,210.1308
2011-05-10,254.4374016,4.184100418,21.62804441,74.28094171,23.03,61.98,5.656,2.854442344,17.36,3.304904051,221.7169
2011-05-15,138.3982036,4.763038819,23.18978774,63.44189658,13.17,75.4,5.519218326,6.29489603,11.05,1.906348208,201.0811156
2011-05-18,163.3696563,5.590566825,33.51399727,65.42391771,23.71,63.37,4.3451,2.567677972,11.24,0.490405117,130.4553
2011-05-20,138.7820513,3.334444815,21.38,78.62,9.75,80.11,4.8826,3.57531595,10.99,3.176972281,132.1858
2011-05-25,152.807602,5.587962523,36.02354217,75.44945093,58.76,31.34,4.871431571,4.480151229,16.59,7.292110874,138.634794
2011-05-28,143.9001211,3.706449222,37.33,62.67,7.74,85.02,5.1276,5.236294896,12.42,1.663113006,141.6511
2011-06-05,206.3358884,3.382899628,26.19,73.81,20.43,64.16,5.0549,0.680529301,14.25,8.933901919,219.1392
2011-06-10,254.5576408,4.169098902,28.41772174,78.85084542,22.1,63.34,5.5284,2.854442344,16.97,3.304904051,221.9197
2011-06-15,141.8245467,5.130836326,27.10741893,73.46322844,13.44,74.44,4.798965365,6.29489603,10.84,3.255287906,209.6578701
2011-06-18,166.1609425,5.72327044,23.35039878,80.72453992,22.91,64.36,4.2142,2.881923281,11.06,0.490405117,136.721
2011-06-20,139.1364903,3.658536585,18.02,81.98,9.54,80.46,4.659,2.018657312,10.88,3.176972281,136.097
2011-06-25,171.697878,3.987640077,30.56825666,73.52059057,51.41,36.75,4.737916276,4.480151229,16.92,7.292110874,209.3087659
2011-06-28,144.3364574,3.891050584,33.94,66.06,8.43,83.72,4.9907,5.236294896,12.22,1.663113006,144.4356
2011-07-05,202.3034768,3.502501787,26.26,73.74,19.28,65.74,5.1842,0.680529301,14.08,8.933901919,221.2518
2011-07-10,253.55273,4.282655246,26.04823992,68.39595568,23.69,61.22,5.5636,2.854442344,16.61,3.304904051,219.7415
2011-07-15,140.8633561,4.349717268,28.77142106,67.48243337,16,72.02,5.012016837,6.29489603,10.57,8.774018726,152.6425988
2011-07-18,165.4120772,6.114108863,31.77305049,73.13534068,26.55,59.08,4.3501,5.404062755,10.72,0.490405117,125.8736
2011-07-20,139.1194332,3.705075954,23.19,76.81,11.45,76.93,4.8,4.265285886,10.58,3.176972281,136.1516
2011-07-25,217.2060795,4.914263739,25.43466209,73.22752861,52.77,35.26,5.383339904,4.480151229,17.25,7.292110874,125.9871351
2011-07-28,143.92,4.001303002,33.13,66.87,9.21,82.18,5.0934,5.236294896,12.04,1.663113006,147.8325
2011-08-05,200.0805153,3.555878084,28.16,71.84,19.87,64.87,5.2913,0.680529301,14.02,8.933901919,219.9172
2011-08-10,253.2855436,4.386302424,28.06253753,71.15835817,24.64,60.1,5.609,2.854442344,16.74,3.304904051,213.3765
2011-08-15,140.5141349,4.547521601,35.31929565,65.39040723,15.57,73.11,4.47973431,6.29489603,10.74,5.567544593,218.1564163
2011-08-18,164.1255869,5.602240896,32.96449815,66.64189037,26.77,58.72,4.4433,5.663190404,10.85,0.490405117,124.3721
2011-08-20,139.7166728,3.745318352,16.93,83.07,13.58,73.49,4.9865,0.999827613,10.61,3.176972281,138.8965
2011-08-25,244.5705606,5.049843778,20.31694819,74.92263746,52.5,35.43,5.516841334,4.480151229,17.09,7.292110874,182.6981989
2011-08-28,142.9353006,4.003202562,39.08,60.92,9.66,81.29,5.1687,5.236294896,11.93,1.663113006,145.4735
2011-09-05,199.27905,3.483336303,27.81,72.19,20.18,64.56,5.2993,0.680529301,13.97,8.933901919,214.0416
2011-09-10,253.4366097,4.020100503,29.46577592,67.1214918,25.24,59.64,5.5923,2.854442344,17.06,3.304904051,213.6502
2011-09-15,142.8571429,4.343137571,31.8625868,66.03032644,17.09,71.63,5.214636191,6.29489603,10.92,0.763898037,180.8150588
2011-09-18,164.5408163,5.955926147,32.84332178,71.06996057,27.3,56.99,4.4842,5.431366989,10.88,0.490405117,127.3712
2011-09-20,138.1599676,3.723142839,29.55,70.45,14.65,71.99,5.0088,3.287639702,10.67,3.176972281,134.1841
2011-09-25,203.8283682,5.067139535,33.69653394,65.1555848,55.23,33,5.233428146,4.480151229,17.08,7.292110874,167.745336
2011-09-28,141.9373129,4.082465979,36.93,63.07,9.61,81.27,5.1334,5.236294896,11.84,1.663113006,142.0231
2011-10-05,197.578426,3.51000351,28.26,71.74,20.93,63.85,5.3027,0.680529301,14.05,8.933901919,203.4429
2011-10-10,251.8132975,4.016064257,30.83213604,71.74947686,26.58,57.76,5.6564,2.854442344,17.37,3.304904051,211.8937
2011-10-15,140.0862069,4.556434618,31.0539253,70.91972877,17.98,70.93,5.060135194,6.29489603,11.08,6.556341472,131.8328431
2011-10-18,165.3311966,5.265929437,23.90164997,75.04067934,25.77,59.7,4.4528,4.421548633,10.96,0.490405117,129.0827
2011-10-20,137.6530612,3.806750765,23.62,76.38,16.93,68.62,5.0248,6.002612711,10.95,3.176972281,130.6906
2011-10-25,250.3337465,4.809355927,24.60304915,70.10979091,50.73,37.54,5.50776666,4.480151229,17.22,7.292110874,187.8344731
2011-10-28,140.5814806,4.000016,31.77,68.23,9.04,82.2,5.1768,5.236294896,11.88,1.663113006,143.1748
2011-11-05,192.2147002,3.514938489,28.53,71.47,23.1,61.38,5.3277,0.680529301,14.09,8.933901919,200.6229
2011-11-10,251.0917031,4.383561644,27.31445241,70.70311663,27.03,57.18,5.6094,2.854442344,17.54,3.304904051,213.1844
2011-11-15,136.4003026,4.577360653,30.51451961,67.79704129,20.6,67.54,5.033019948,6.29489603,10.94,3.389332123,193.9606585
2011-11-18,163.591997,5.889281508,34.92987447,67.9709184,25.26,60.51,4.4546,2.064483819,10.85,0.490405117,128.8197
2011-11-20,135.1127321,3.989361702,25.49,74.51,19.36,65.34,5.0265,1.879319581,11.37,3.176972281,130.0653
2011-11-25,157.719589,4.509882053,29.96746538,72.88962959,42.84,44.93,5.567644352,4.480151229,17.06,7.292110874,208.5319506
2011-11-28,137.3626374,4.109589041,35,65,9.08,82.55,5.1753,5.236294896,11.88,1.663113006,140.7677
2011-12-05,188.7899705,4.00160064,32.34,67.66,24.26,59.98,5.2712,0.680529301,14.06,8.933901919,197.5298
2011-12-10,252.5826446,5.197844181,21.9667764,68.45774801,29.3,54.92,5.5401,2.854442344,17.83,3.304904051,216.554
2011-12-15,134.529148,9.201103195,25.1284961,67.94986625,22.55,65.36,5.421181269,6.29489603,11.29,3.256950898,209.37095
2011-12-18,164.5,6.806523498,25.80057814,64.0968593,23.89,62.52,4.3631,2.321614247,11.1,0.490405117,126.0081
2011-12-20,132.9678549,4.348834527,21.15,78.85,20.7,63.95,4.9407,1.257597086,11.3,3.176972281,130.2332
2011-12-25,156.4951487,4.202123794,22.4367777,65.32269724,35.74,52.38,4.643787335,4.480151229,14.57,7.292110874,143.2763551
