MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1,MPCt-8,MPCt-7,MPCt-6,MPCt-5,MPCt-4,MPCt-3,MPCt-2,MPCt-1,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1,IVt-8,IVt-7,IVt-6,IVt-5,IVt-4,IVt-3,IVt-2,IVt-1,DVt-8,DVt-7,DVt-6,DVt-5,DVt-4,DVt-3,DVt-2,DVt-1,TNVt-8,TNVt-7,TNVt-6,TNVt-5,TNVt-4,TNVt-3,TNVt-2,TNVt-1,BSIt-8,BSIt-7,BSIt-6,BSIt-5,BSIt-4,BSIt-3,BSIt-2,BSIt-1,PTRt-8,PTRt-7,PTRt-6,PTRt-5,PTRt-4,PTRt-3,PTRt-2,PTRt-1,MHIt-8,MHIt-7,MHIt-6,MHIt-5,MHIt-4,MHIt-3,MHIt-2,MHIt-1,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
164.84375,142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,6.472491909,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,27.2948797,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,65.5988141,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,35.46,12.58,49.85,19.61,27.81,23.73,21.78,35.17,51.35,74.69,40.37,64.95,55.15,61.89,65.62,51.54,4.4776,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,1.973539711,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,12.15,11.72,17.62,12.3,14.81,17.06,11.84,12.19,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,7.709873215,0.490405117,129.5548,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676
142.2597865,179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,4.218682578,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,24.82,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,75.18,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,12.58,49.85,19.61,27.81,23.73,21.78,35.17,12.64,74.69,40.37,64.95,55.15,61.89,65.62,51.54,75.25,4.9656,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,4.290363416,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,11.72,17.62,12.3,14.81,17.06,11.84,12.19,11.66,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,7.709873215,0.490405117,3.176972281,138.4103,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691
179.1922426,146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,4.705754725,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,34.51173112,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,73.60297033,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,49.85,19.61,27.81,23.73,21.78,35.17,12.64,54.82,40.37,64.95,55.15,61.89,65.62,51.54,75.25,35.42,4.955132175,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,17.62,12.3,14.81,17.06,11.84,12.19,11.66,17.81,7.292110874,1.663113006,8.933901919,3.304904051,7.709873215,0.490405117,3.176972281,7.292110874,208.3606937,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171
146.0117133,203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,4.301667445,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,36.27,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,63.73,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,19.61,27.81,23.73,21.78,35.17,12.64,54.82,17.68,64.95,55.15,61.89,65.62,51.54,75.25,35.42,67.41,5.4128,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.236294896,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,12.3,14.81,17.06,11.84,12.19,11.66,17.81,12.41,1.663113006,8.933901919,3.304904051,7.709873215,0.490405117,3.176972281,7.292110874,1.663113006,147.5122,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356
203.7037037,252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,4.118858488,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,26.05,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,73.95,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,27.81,23.73,21.78,35.17,12.64,54.82,17.68,27.16,55.15,61.89,65.62,51.54,75.25,35.42,67.41,56.36,5.4101,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,0.680529301,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,14.81,17.06,11.84,12.19,11.66,17.81,12.41,14.89,8.933901919,3.304904051,7.709873215,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,211.3451,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964
252.2321429,140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,4.489795918,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,29.70409912,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,69.28378604,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,23.73,21.78,35.17,12.64,54.82,17.68,27.16,19.86,61.89,65.62,51.54,75.25,35.42,67.41,56.36,67.29,5.7889,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,2.854442344,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,17.06,11.84,12.19,11.66,17.81,12.41,14.89,17.05,3.304904051,7.709873215,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,232.4509,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943
140.0224215,164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,6.15606631,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,28.02849064,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,72.14111005,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,21.78,35.17,12.64,54.82,17.68,27.16,19.86,19.47,65.62,51.54,75.25,35.42,67.41,56.36,67.29,68.44,5.532555144,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,6.29489603,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,11.84,12.19,11.66,17.81,12.41,14.89,17.05,11.8,7.709873215,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,3.724691316,144.8732919,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205
164.084507,138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,7.704160247,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,32.76166893,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,71.57231669,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,35.17,12.64,54.82,17.68,27.16,19.86,19.47,34.2,51.54,75.25,35.42,67.41,56.36,67.29,68.44,52.34,4.5356,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.645340599,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,12.19,11.66,17.81,12.41,14.89,17.05,11.8,12.09,0.490405117,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,3.724691316,0.490405117,134.6848,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407
138.8310185,220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,4.544507181,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,23.3,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,76.7,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,12.64,54.82,17.68,27.16,19.86,19.47,34.2,11.73,75.25,35.42,67.41,56.36,67.29,68.44,52.34,77.27,4.9719,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,4.280436161,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,11.66,17.81,12.41,14.89,17.05,11.8,12.09,11.55,3.176972281,7.292110874,1.663113006,8.933901919,3.304904051,3.724691316,0.490405117,3.176972281,135.3118,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754
220.4820554,142.5456389,201.1627907,249.5779289,138.6913229,163.0842391,137.8212123,167.4062221,4.329854088,4.546488073,4.12371134,4.780952381,6.577693041,6.060606061,4.140786749,5.569509623,26.40753285,33.33,30.6,31.46978529,29.94044772,32.57281606,27.27,34.06905571,73.25557678,66.67,69.4,67.95886551,66.26035344,72.72943979,72.73,69.61310018,54.82,17.68,27.16,19.86,19.47,34.2,11.73,55.34,35.42,67.41,56.36,67.29,68.44,52.34,77.27,34.09,5.076654649,5.3544,5.4295,5.7831,4.688369668,4.6071,4.9736,5.46352579,4.480151229,5.236294896,0.680529301,2.854442344,6.29489603,3.993998241,5.970776455,4.480151229,17.81,12.41,14.89,17.05,11.8,12.09,11.55,17.77,7.292110874,1.663113006,8.933901919,3.304904051,3.724691316,0.490405117,3.176972281,7.292110874,179.3694676,145.7691,208.1171,228.5356,134.8633964,130.4943,133.205,145.7740407,139.1754,202.4189
