SFLt-12,SFLt-11,SFLt-10,SFLt-9,SFLt-8,SFLt-7,SFLt-6,SFLt-5,SFLt-4,SFLt-3,SFLt-2,SFLt-1
18.05,21.6,21.6,21.6,23.82,19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61
21.6,21.6,21.6,23.82,19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05
21.6,21.6,23.82,19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0
21.6,23.82,19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54
23.82,19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54,20.05
19.97667,17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54,20.05,20.05
17.4,18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54,20.05,20.05,20.05
18.71,19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54,20.05,20.05,20.05,22.74
19.97667,19.97667,19.97667,21.61,20.05,18.0,20.54,20.05,20.05,20.05,22.74,21.17667
19.97667,19.97667,21.61,20.05,18.0,20.54,20.05,20.05,20.05,22.74,21.17667,19.86
19.97667,21.61,20.05,18.0,20.54,20.05,20.05,20.05,22.74,21.17667,19.86,20.93
21.61,20.05,18.0,20.54,20.05,20.05,20.05,22.74,21.17667,19.86,20.93,21.17667
20.05,18.0,20.54,20.05,20.05,20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667
18.0,20.54,20.05,20.05,20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667
20.54,20.05,20.05,20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2
20.05,20.05,20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333
20.05,20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31
20.05,22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1
22.74,21.17667,19.86,20.93,21.17667,21.17667,21.17667,23.2,19.20333,18.31,16.1,19.20333
