MSPt-12,MSPt-11,MSPt-10,MSPt-9,MSPt-8,MSPt-7,MSPt-6,MSPt-5,MSPt-4,MSPt-3,MSPt-2,MSPt-1,MSPt,MSPt+1
127.5923,113.4748,65.4049,70.1678,107.5967,230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018
113.4748,65.4049,70.1678,107.5967,230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869
65.4049,70.1678,107.5967,230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607
70.1678,107.5967,230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416
107.5967,230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994
230.8938,81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226
81.9961,128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628
128.1435,114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123
114.4527,67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607
67.8636,71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555
71.5832,106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787
106.2361,230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007
230.3119,84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177
84.5018,128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741
128.4869,115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372
115.9607,70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961
70.6416,70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722
70.7994,111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674
111.0226,230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878
230.2628,86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705
86.2123,132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281
132.6607,117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962
117.1555,68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312
68.5787,75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438
75.3007,109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805
109.9177,233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713
233.7741,87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553
87.6372,132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781
132.8961,118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434
118.3722,69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648
69.6674,75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354
75.2878,110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448
110.9705,233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239
233.7281,87.4962,131.6312,117.8438,71.0805,74.3713,108.7553,230.7781,86.434,129.1648,117.354,74.0448,75.8239,107.8786
