MLPt-5,MSPt-7,MSPt-6,IVt-1,IVt-5,IVt-7,IVt-6,MLPt-6,MLPt-7,DVt-6,DVt-7,MLPt-2,MLPt-3,MLPt-4,MLPt-1
133.0173259,70.6416,70.7994,25.06833333,28.42,35.92,20.42,81.71728972,89.02616279,72.04,53.8,133.2291667,86.65813951,216.5097755,94.64506173
216.5097755,70.7994,111.0226,34.84,18.16,20.42,28.42,133.0173259,81.71728972,61.38,72.04,94.64506173,133.2291667,86.65813951,89.55228327
86.65813951,111.0226,230.2628,21.18,30.49,28.42,18.16,216.5097755,133.0173259,72.71,61.38,89.55228327,94.64506173,133.2291667,83.26923077
133.2291667,230.2628,86.2123,25.43,20.31,18.16,30.49,86.65813951,216.5097755,51.95,72.71,83.26923077,89.55228327,94.64506173,133.3333333
94.64506173,86.2123,132.6607,17.26,25.06833333,30.49,20.31,133.2291667,86.65813951,65.97,51.95,133.3333333,83.26923077,89.55228327,214.2709837
89.55228327,132.6607,117.1555,30.63,34.84,20.31,25.06833333,94.64506173,133.2291667,63.57333333,65.97,214.2709837,133.3333333,83.26923077,82.44739756
83.26923077,117.1555,68.5787,19.94,21.18,25.06833333,34.84,89.55228327,94.64506173,54.68,63.57333333,82.44739756,214.2709837,133.3333333,132.7898551
133.3333333,68.5787,75.3007,24.90333333,25.43,34.84,21.18,83.26923077,89.55228327,71.39,54.68,132.7898551,82.44739756,214.2709837,94.90740741
214.2709837,75.3007,109.9177,32.98,17.26,21.18,25.43,133.3333333,83.26923077,64.74,71.39,94.90740741,132.7898551,82.44739756,90.12623986
82.44739756,109.9177,233.7741,23.05,30.63,25.43,17.26,214.2709837,133.3333333,73.8,64.74,90.12623986,94.90740741,132.7898551,83.50144092
132.7898551,233.7741,87.6372,25.56,19.94,17.26,30.63,82.44739756,214.2709837,51.88,73.8,83.50144092,90.12623986,94.90740741,133.3333333
94.90740741,87.6372,132.8961,16.74,24.90333333,30.63,19.94,132.7898551,82.44739756,66.59,51.88,133.3333333,83.50144092,90.12623986,212.4740591
90.12623986,132.8961,118.3722,33.57,32.98,19.94,24.90333333,94.90740741,132.7898551,63.88666667,66.59,212.4740591,133.3333333,83.50144092,76.64291403
83.50144092,118.3722,69.6674,19.9,23.05,24.90333333,32.98,90.12623986,94.90740741,56.46,63.88666667,76.64291403,212.4740591,133.3333333,130.7797468
133.3333333,69.6674,75.2878,25.165,25.56,32.98,23.05,83.50144092,90.12623986,69.44,56.46,130.7797468,76.64291403,212.4740591,93.89933166
212.4740591,75.2878,110.9705,32.36,16.74,23.05,25.56,133.3333333,83.50144092,65.15,69.44,93.89933166,130.7797468,76.64291403,88.54166667
76.64291403,110.9705,233.7281,24.93,33.57,25.56,16.74,212.4740591,133.3333333,74.25,65.15,88.54166667,93.89933166,130.7797468,82.80319532
130.7797468,233.7281,87.4962,23.49,19.9,16.74,33.57,76.64291403,212.4740591,48.18,74.25,82.80319532,88.54166667,93.89933166,133.4021568
93.89933166,87.4962,131.6312,16.36,25.165,33.57,19.9,130.7797468,76.64291403,66.67,48.18,133.4021568,82.80319532,88.54166667,210.9404481
88.54166667,131.6312,117.8438,36.14,32.36,19.9,25.165,93.89933166,130.7797468,63.39,66.67,210.9404481,133.4021568,82.80319532,75.60558789
82.80319532,117.8438,71.0805,21.42,24.93,25.165,32.36,88.54166667,93.89933166,57.45,63.39,75.60558789,210.9404481,133.4021568,129.9452664
133.4021568,71.0805,74.3713,26.23333333,23.49,32.36,24.93,82.80319532,88.54166667,66.75,57.45,129.9452664,75.60558789,210.9404481,93.6103425
210.9404481,74.3713,108.7553,33.08,16.36,24.93,23.49,133.4021568,82.80319532,67.04,66.75,93.6103425,129.9452664,75.60558789,88.77777778
75.60558789,108.7553,230.7781,26.79,36.14,23.49,16.36,210.9404481,133.4021568,74.48,67.04,88.77777778,93.6103425,129.9452664,80.64236111
129.9452664,230.7781,86.434,23.61,21.42,16.36,36.14,75.60558789,210.9404481,45.02,74.48,80.64236111,88.77777778,93.6103425,131.9776905
93.6103425,86.434,129.1648,16.22,26.23333333,36.14,21.42,129.9452664,75.60558789,64.87,45.02,131.9776905,80.64236111,88.77777778,209.1776799
88.77777778,129.1648,117.354,39.23,33.08,21.42,26.23333333,93.6103425,129.9452664,61.95833333,64.87,209.1776799,131.9776905,80.64236111,76.0
80.64236111,117.354,74.0448,24.57,26.79,26.23333333,33.08,88.77777778,93.6103425,56.88,61.95833333,76.0,209.1776799,131.9776905,130.0374365
131.9776905,74.0448,75.8239,28.33666667,23.61,33.08,26.79,80.64236111,88.77777778,64.06,56.88,130.0374365,76.0,209.1776799,92.7895882
209.1776799,75.8239,107.8786,35.13,16.22,26.79,23.61,131.9776905,80.64236111,66.44,64.06,92.7895882,130.0374365,76.0,87.32517483
76.0,107.8786,227.3584,29.49,39.23,23.61,16.22,209.1776799,131.9776905,74.98,66.44,87.32517483,92.7895882,130.0374365,79.36507937
130.0374365,227.3584,86.2865,25.38,24.57,16.22,39.23,76.0,209.1776799,41.63,74.98,79.36507937,87.32517483,92.7895882,132.7857393
