MLPt-12,MLPt-11,MLPt-10,MLPt-9,MLPt-8,MLPt-7,MLPt-6,MLPt-5,MLPt-4,MLPt-3,MLPt-2,MLPt-1
140.8633561,165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006
165.4120772,139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905
139.1194332,217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097
217.2060795,143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429
143.92,200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163
200.0805153,253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676
253.2855436,140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682
140.5141349,164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129
164.1255869,139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426
139.7166728,244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975
244.5705606,142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069
142.9353006,199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966
199.27905,253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612
253.4366097,142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465
142.8571429,164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806
164.5408163,138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002
138.1599676,203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031
203.8283682,141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026
141.9373129,197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997
197.578426,251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321
251.8132975,140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589
140.0862069,165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374
165.3311966,137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705
137.6530612,250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446
250.3337465,140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148
140.5814806,192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5
192.2147002,251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549
251.0917031,136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487
136.4003026,163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075
163.591997,135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544
135.1127321,157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353
157.719589,137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278
137.3626374,188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392
188.7899705,252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377
252.5826446,134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147
134.529148,164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676
164.5,132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667
132.9678549,156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017
156.4951487,136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292
136.0619075,190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036
190.5857544,250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594
250.68353,130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715
130.5774278,162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036
162.1360392,133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885
133.0195377,213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188
213.5313147,137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218
137.0513676,193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785
193.2666667,249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222
249.5831017,130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098
130.6040292,161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002
161.8705036,133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389
133.1961594,238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333
238.2065715,134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571
134.9635036,198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047
198.2127885,249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216
249.0820188,134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337
134.4430218,162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366
162.4109785,134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835
134.7222222,167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129
167.5653098,136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312
136.9156002,202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535
202.4488389,248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678
248.9583333,137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812
137.1428571,164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926
164.8622047,136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792
136.7982216,222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652
222.7299337,138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478
138.3663366,203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671
203.6652835,249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159
249.9233129,143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701
143.0713312,165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476
165.9539535,138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085
138.113678,210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942
210.1269812,138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128
138.6577926,202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697
202.1886792,251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413
251.585652,140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888
140.0442478,164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031
164.7013671,139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973
139.1079159,183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375
183.4822701,137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928
137.6190476,199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841
199.828085,254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642
254.8689942,139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677
139.8433128,165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031
165.719697,138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984
138.8313413,191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685
191.1672888,136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193
136.787031,197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249
197.2972973,252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494
252.4417375,137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915
137.7479928,162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121
162.5822841,138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583
138.3410642,548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573
548.8893677,136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879
136.787031,198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748
198.4126984,257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847
257.8651685,136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063
136.2540193,163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515
163.7547249,137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823
137.0767494,532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723
532.5159915,136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957
136.6173121,198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094
198.9695583,256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394
256.3274573,135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144
135.7663879,162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744
162.4015748,136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624
136.1802847,521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505
521.9548063,137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543
137.1652515,199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006
199.1398823,259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326
259.5375723,134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024
134.6819957,163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124
163.0649094,136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314
136.0315394,506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142
506.4363144,138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118
138.3589744,196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558
196.0976624,260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191
260.9986505,134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191,514.2857143
134.5875543,163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191,514.2857143,135.6485594
163.7106006,134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191,514.2857143,135.6485594,201.0053619
134.6751326,521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191,514.2857143,135.6485594,201.0053619,264.7854441
521.2510024,136.6295124,196.0784314,260.9612142,130.9055118,163.1668558,135.2814191,514.2857143,135.6485594,201.0053619,264.7854441,127.7139208
