SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
62.47,72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992
72.36,74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98
74.28094171,63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057
63.44189658,65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06
65.42391771,78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74
78.62,75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568
75.44945093,62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337
62.67,73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068
73.81,78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81
78.85084542,73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861
73.46322844,80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87
80.72453992,81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84
81.98,73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817
73.52059057,66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723
66.06,73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037
73.74,68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07
68.39595568,67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746
67.48243337,73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92
73.13534068,76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19
76.81,73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918
73.22752861,66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644
66.87,71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057
71.84,71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45
71.15835817,65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848
65.39040723,66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07
66.64189037,83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74
83.07,74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686
74.92263746,60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877
60.92,72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934
72.19,67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38
67.1214918,66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091
66.03032644,71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23
71.06996057,70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47
70.45,65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663
65.1555848,63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129
63.07,71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184
71.74,71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51
71.74947686,70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959
70.91972877,75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0
75.04067934,76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66
76.38,70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801
70.10979091,68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625
68.23,71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593
71.47,70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85
70.70311663,67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724
67.79704129,67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11
67.9709184,74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69
74.51,72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293
72.88962959,65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087
65.0,67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239
67.66,68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65
68.45774801,67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822
67.94986625,64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72
64.0968593,78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63
78.85,65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133
65.32269724,63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539
63.11,68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554
68.69,59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25
59.52834293,58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558
58.80509087,65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49
65.4487239,67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17
67.65,58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047
58.29421822,56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259
56.72,66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855
66.63,70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85
70.1432133,66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953
66.09111539,74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6
74.21581554,74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91
74.25,70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843
70.00939558,61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194
61.49,68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055
68.17,64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12
64.0481047,69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111
69.42573259,67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99
67.43326855,70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6
70.85,62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743
62.92396953,61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449
61.6,67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688
67.91,75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85
75.50311843,74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768
74.33185194,71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59
71.98947055,78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92
78.12,69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748
69.59182111,63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635
63.99,71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003
71.6,62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22
62.68356743,74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773
74.19716449,61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02
61.03060688,75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11
75.85,67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568
67.79340768,60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589
60.59,73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122
73.92,68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88
68.49716748,68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097
68.59433635,68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42
68.07447003,71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67
71.22,73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264
73.35699773,67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965
67.02,71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637
71.11,61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35
61.94666568,69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476
69.1879589,61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7
61.70984122,76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18
76.88,64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411
64.05160097,60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135
60.42,72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344
72.67,69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36
69.76990264,71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984
71.18827965,72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25
72.92267637,74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89
74.35,65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385
65.66017476,64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467
64.7,72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488
72.18,71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19
71.82229411,68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155
68.55290135,67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88
67.65359344,76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65
76.36,68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878
68.11171984,67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759
67.25,70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961
70.89,75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8
75.57848385,72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198
72.33645467,77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84
77.28777488,78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98
78.19,69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833
69.33675155,62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425
62.88,70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544
70.65,68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47
68.98750878,67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274
67.93218759,67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12
67.79504961,72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5
72.8,66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451
66.94275198,65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488
65.84,70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356
70.98,64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52
64.84769833,64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343
64.25314425,68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92
68.5275544,74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01
74.47,68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148
68.87886274,63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855
63.12,66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664
66.5,64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87
64.67000451,62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136
62.84488488,66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4
66.75159356,69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54
69.52,62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352
62.39778343,60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394
60.92,67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439
67.01,61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9
61.41261148,52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789
52.96039855,64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0
64.79347664,66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42
66.87,53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413
53.62924136,50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601
50.4,67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368
67.54,73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67
73.42713352,70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188
70.35402394,62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56
62.6112439,74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82
74.9,64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093
64.55787789,62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199
62.0,71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231
71.42,65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62
65.419413,68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62,75.22650669
68.44315601,65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62,75.22650669,64.29
65.50859368,75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62,75.22650669,64.29,79.19
75.67,64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62,75.22650669,64.29,79.19,70.24529131
64.36408188,60.56,75.82,71.59763093,72.61923199,76.13934231,77.62,75.22650669,64.29,79.19,70.24529131,70.86889051
