SFGt-12,SFGt-11,SFGt-10,SFGt-9,SFGt-8,SFGt-7,SFGt-6,SFGt-5,SFGt-4,SFGt-3,SFGt-2,SFGt-1
81.95,78.4,78.4,78.4,76.18,80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39
78.4,78.4,78.4,76.18,80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95
78.4,78.4,76.18,80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0
78.4,76.18,80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46
76.18,80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46,79.95
80.02333,82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46,79.95,79.95
82.6,81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46,79.95,79.95,79.95
81.29,80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46,79.95,79.95,79.95,77.26
80.02333,80.02333,80.02333,78.39,79.95,82.0,79.46,79.95,79.95,79.95,77.26,78.82333
80.02333,80.02333,78.39,79.95,82.0,79.46,79.95,79.95,79.95,77.26,78.82333,80.14
80.02333,78.39,79.95,82.0,79.46,79.95,79.95,79.95,77.26,78.82333,80.14,79.07
78.39,79.95,82.0,79.46,79.95,79.95,79.95,77.26,78.82333,80.14,79.07,78.82333
79.95,82.0,79.46,79.95,79.95,79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333
82.0,79.46,79.95,79.95,79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333
79.46,79.95,79.95,79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8
79.95,79.95,79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667
79.95,79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69
79.95,77.26,78.82333,80.14,79.07,78.82333,78.82333,78.82333,76.8,80.79667,81.69,83.9
